[Spectrum]
Version            = 1
IDData             = DLAB_2024-07-09_07-31-44_020_202
IDDevice           = SAM_8861
IDDataType         = SPECTRUM
IDDataTypeSub1     = CAL
IDDataTypeSub2     = Aqua
IDDataTypeSub3     = 
DateTime           = 2024-07-09 07:31:44
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = 
MethodName         = 
Mission            = No Mission
MissionSub         = 1
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-07-04_08-22-43_066_824
IDDataCal = 
IntegrationTime = 64
P31 = -1
P31e = 0
PathLength = +INF
RAWDynamic = 65535
Temperature = +NAN
Unit1 = $05 $00 Pixel 
Unit2 = $04 $04 1/Intensity (m^2 nm Sr)/mW
Unit3 = $04 $04 1/Intensity (m^2 nm Sr)/mW
Unit4 = $f1 $00 Status 
[END] of [Attributes]
[DATA]
 0 5 0 0
 1 +NAN 0 0
 2 +NAN 0 0
 3 +NAN 0 0
 4 +NAN 0 0
 5 0.436163206315363 0 0
 6 0.467127174807112 0 0
 7 0.489250227503801 0 0
 8 0.505100304944824 0 0
 9 0.517269650549217 0 0
 10 0.535822089894549 0 0
 11 0.565388748679489 0 0
 12 0.589857433102268 0 0
 13 0.628531653588139 0 0
 14 0.683711612655837 0 0
 15 0.731442837365833 0 0
 16 0.795336929288752 0 0
 17 0.863405966198532 0 0
 18 0.925837521740779 0 0
 19 0.979496378444201 0 0
 20 1.02430822330594 0 0
 21 1.03769600998082 0 0
 22 1.03670638285167 0 0
 23 1.02427908431932 0 0
 24 1.00170813679031 0 0
 25 0.98202427101055 0 0
 26 0.968869950941786 0 0
 27 0.958166272623499 0 0
 28 0.957478147906431 0 0
 29 0.965808363224192 0 0
 30 0.976747326475644 0 0
 31 0.99920871437984 0 0
 32 1.02862289754734 0 0
 33 1.07093383966941 0 0
 34 1.12700171314175 0 0
 35 1.19221220163266 0 0
 36 1.26162256812008 0 0
 37 1.33703055881447 0 0
 38 1.41559039419096 0 0
 39 1.49528640150548 0 0
 40 1.57391260735265 0 0
 41 1.64473450919538 0 0
 42 1.69597135794319 0 0
 43 1.72952962878102 0 0
 44 1.74577886002526 0 0
 45 1.74420904928173 0 0
 46 1.72700668204715 0 0
 47 1.69969036393042 0 0
 48 1.66206746361859 0 0
 49 1.62275763954792 0 0
 50 1.58358117043116 0 0
 51 1.54930189609415 0 0
 52 1.5212574993362 0 0
 53 1.49639349324409 0 0
 54 1.47087540860868 0 0
 55 1.44067720504472 0 0
 56 1.40836067587948 0 0
 57 1.37849580063553 0 0
 58 1.35377255464465 0 0
 59 1.337934454341 0 0
 60 1.32890102777335 0 0
 61 1.32766995386484 0 0
 62 1.33367532652715 0 0
 63 1.3470512642602 0 0
 64 1.36591123606312 0 0
 65 1.39042483341172 0 0
 66 1.41973382603353 0 0
 67 1.45435576676124 0 0
 68 1.49053493844078 0 0
 69 1.52558255057473 0 0
 70 1.55556085254789 0 0
 71 1.57919531234727 0 0
 72 1.59601657341655 0 0
 73 1.60630445251054 0 0
 74 1.6122315576386 0 0
 75 1.61542321371203 0 0
 76 1.61441732578027 0 0
 77 1.61055000329076 0 0
 78 1.60465723198388 0 0
 79 1.5935339889866 0 0
 80 1.57791040365079 0 0
 81 1.55724812012569 0 0
 82 1.53064681070948 0 0
 83 1.50068832667859 0 0
 84 1.46934086892303 0 0
 85 1.43936125001367 0 0
 86 1.41633241143676 0 0
 87 1.39266707152523 0 0
 88 1.36713780506071 0 0
 89 1.3408457115184 0 0
 90 1.31437508141712 0 0
 91 1.28985374020055 0 0
 92 1.26814039203398 0 0
 93 1.24970686088142 0 0
 94 1.23374751064357 0 0
 95 1.22153496655201 0 0
 96 1.21242568941823 0 0
 97 1.20229539425924 0 0
 98 1.18936530244363 0 0
 99 1.16947905377691 0 0
 100 1.1436207340766 0 0
 101 1.1133475302099 0 0
 102 1.08188933247612 0 0
 103 1.05201538484107 0 0
 104 1.02238724277961 0 0
 105 0.991606291627689 0 0
 106 0.961215658482737 0 0
 107 0.935015620752273 0 0
 108 0.912258708135813 0 0
 109 0.891691217633724 0 0
 110 0.873227461369876 0 0
 111 0.856764063537757 0 0
 112 0.842472452319369 0 0
 113 0.830026496225735 0 0
 114 0.820455315793363 0 0
 115 0.81264155016942 0 0
 116 0.804770585261734 0 0
 117 0.796164049805486 0 0
 118 0.787414282324884 0 0
 119 0.778000594981434 0 0
 120 0.768500978700157 0 0
 121 0.759396599865651 0 0
 122 0.751275235398614 0 0
 123 0.744478097594889 0 0
 124 0.739374351012005 0 0
 125 0.736235372834289 0 0
 126 0.734173609561219 0 0
 127 0.733737355020645 0 0
 128 0.732863783739663 0 0
 129 0.731046720581363 0 0
 130 0.728431217923344 0 0
 131 0.723596337915637 0 0
 132 0.717908513156176 0 0
 133 0.710613764377262 0 0
 134 0.702188985759541 0 0
 135 0.693266243857526 0 0
 136 0.684120665053288 0 0
 137 0.67461657721363 0 0
 138 0.666673874997008 0 0
 139 0.659413659467586 0 0
 140 0.652254635400652 0 0
 141 0.645437001739822 0 0
 142 0.637770831018146 0 0
 143 0.628579180269679 0 0
 144 0.618306071985716 0 0
 145 0.605763182576264 0 0
 146 0.591093089601427 0 0
 147 0.575026512504724 0 0
 148 0.558166253021066 0 0
 149 0.540384755126439 0 0
 150 0.523433411690673 0 0
