[Spectrum]
Version            = 1
IDData             = DLAB_2024-07-04_08-22-40_130_756
IDDevice           = SAM_8860
IDDataType         = SPECTRUM
IDDataTypeSub1     = BACK
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2024-07-04 08:13:48
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 
CommentSub1        = 
CommentSub2        = 
CommentSub3        = 
IDMethodType       = SAM Calibration Station
MethodName         = SAM Calibration Station
Mission            = 
MissionSub         = 0
RecordType         = 0

[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = 
IDDataCal = 
IntegrationTime = 8192
 100 0.0182325642923087 0.0183309219606491 0
 101 0.0182717459696124 0.018255612686168 0
 102 0.018241396295698 0.0181659774744007 0
 103 0.0182621522015689 0.0184203532842413 0
 104 0.0182505044954793 0.0183224059635429 0
 105 0.0182667805412352 0.0183302963311804 0
 106 0.0182428826614995 0.0181963730467307 0
 107 0.0182590198239149 0.0184977632353478 0
 108 0.0182480257070132 0.0183687690522672 0
 109 0.0182717606256433 0.0183871247485612 0
 110 0.0182407896407042 0.0181115880344016 0
 111 0.0182612777250579 0.0181771262124797 0
 112 0.0182471815894234 0.0182940932625355 0
 113 0.0182694383426502 0.0180787281732299 0
 114 0.0182496624716081 0.0182448446673612 0
 115 0.0182803706948502 0.018414499529051 0
 116 0.0182536656617654 0.018330553111579 0
 117 0.0182621187020697 0.0183033609227254 0
 118 0.0182472850540225 0.0183454331079985 0
 119 0.0182897828327964 0.0181210386353513 0
 120 0.0182355265553182 0.0182258053870829 0
 121 0.0182650050677763 0.018162821746294 0
 122 0.0182628115484834 0.018211770269745 0
 123 0.0182855650364722 0.018189402619746 0
 124 0.0182414236885176 0.0183622318876545 0
 125 0.0182595830342456 0.018438132228369 0
 126 0.018243821345384 0.0182728705633415 0
 127 0.0182692097783587 0.0182777994901487 0
 128 0.0182606604269941 0.0181514785463769 0
 129 0.0182814070856075 0.0183305778993537 0
 130 0.0182341677318809 0.0183457167709132 0
 131 0.0182681737365545 0.0181174536597939 0
 132 0.0182553094054227 0.0181092281335124 0
 133 0.0182715561391168 0.0184284955445472 0
 134 0.0182445811907961 0.0181442846802963 0
